slide_name,permissible_angle,slide_width_um,scanner_name,time_stamp,slide_id,load_identifier,x_offset_um,y_offset_um,row_index,col_index,row_col
H01CBA06P_95091,3.895906686,25756.5,H01CBA06P,2021-04-11T05:48:50,95091,CS002-3-1618117995424,,,0,21,"0,21"
H01CBA05P_95327,4.490466009,25545,H01CBA05P,2021-04-11T05:49:28,95327,CS002-2-1618118012311,,,0,17,"0,17"
H01CBA06P_95092,3.955118524,25371.5,H01CBA06P,2021-04-11T05:50:07,95092,CS002-3-1618117995424,,,0,22,"0,22"
H01CBA06P_95093,3.973234939,25256,H01CBA06P,2021-04-11T05:50:53,95093,CS002-3-1618117995424,,,0,23,"0,23"
H01CBA05P_95328,4.539075318,25272,H01CBA05P,2021-04-11T05:51:31,95328,CS002-2-1618118012311,,,0,18,"0,18"
H01CBA06P_95094,3.955118524,25371.5,H01CBA06P,2021-04-11T05:52:10,95094,CS002-3-1618117995424,,,0,24,"0,24"
H01CBA05P_95329,4.449622828,25779,H01CBA05P,2021-04-11T05:52:49,95329,CS002-2-1618118012311,,,0,19,"0,19"
H01CBA06P_95095,3.919377222,25602.5,H01CBA06P,2021-04-11T05:53:28,95095,CS002-3-1618117995424,,,0,25,"0,25"
H01CBA05P_95330,4.553157793,25194,H01CBA05P,2021-04-11T05:54:06,95330,CS002-2-1618118012311,,,0,20,"0,20"
H01CBA05P_95331,4.525079776,25350,H01CBA05P,2021-04-11T05:54:52,95331,CS002-2-1618118012311,,,0,21,"0,21"
H01CBA05P_95332,4.518114354,25389,H01CBA05P,2021-04-11T05:55:37,95332,CS002-2-1618118012311,,,0,22,"0,22"
H01CBA05P_95333,4.553157793,25194,H01CBA05P,2021-04-11T05:56:23,95333,CS002-2-1618118012311,,,0,23,"0,23"
H01CBA02P_95208,4.539453319,25269.9,H01CBA02P,2021-04-11T05:57:01,95208,CS002-1-1618118000086,,,0,18,"0,18"
H01CBA05P_95334,4.50424771,25467,H01CBA05P,2021-04-11T05:57:39,95334,CS002-2-1618118012311,,,0,24,"0,24"
H01CBA02P_95209,4.525348107,25348.5,H01CBA02P,2021-04-11T05:58:18,95209,CS002-1-1618118000086,,,0,19,"0,19"
H01CBA06P_95096,3.949116405,25410,H01CBA06P,2021-04-11T05:59:01,95096,CS002-3-1618117995424,,,0,26,"0,26"
H01CBA05P_95335,4.539075318,25272,H01CBA05P,2021-04-11T05:59:39,95335,CS002-2-1618118012311,,,0,25,"0,25"
H01CBA02P_95210,4.462945532,25702.2,H01CBA02P,2021-04-11T06:00:18,95210,CS002-1-1618118000086,,,0,20,"0,20"
H01CBA06P_95097,4.009970677,25025,H01CBA06P,2021-04-11T06:00:58,95097,CS002-3-1618117995424,,,0,27,"0,27"
H01CBA05P_95336,4.449622828,25779,H01CBA05P,2021-04-11T06:01:36,95336,CS002-2-1618118012311,,,0,26,"0,26"
H01CBA02P_95211,4.442525754,25820.1,H01CBA02P,2021-04-11T06:02:14,95211,CS002-1-1618118000086,,,0,21,"0,21"
H01CBA06P_95098,3.997650124,25102,H01CBA06P,2021-04-11T06:02:54,95098,CS002-3-1618117995424,,,0,28,"0,28"
H01CBA05P_95337,4.469951026,25662,H01CBA05P,2021-04-11T06:03:33,95337,CS002-2-1618118012311,,,0,27,"0,27"
H01CBA02P_95212,4.525348107,25348.5,H01CBA02P,2021-04-11T06:04:11,95212,CS002-1-1618118000086,,,0,22,"0,22"
H01CBA05P_95338,4.532066731,25311,H01CBA05P,2021-04-11T06:04:49,95338,CS002-2-1618118012311,,,0,28,"0,28"
H01CBA06P_95099,3.949116405,25410,H01CBA06P,2021-04-11T06:05:28,95099,CS002-3-1618117995424,,,0,29,"0,29"
H01CBA02P_95213,4.525348107,25348.5,H01CBA02P,2021-04-11T06:06:08,95213,CS002-1-1618118000086,,,0,23,"0,23"
H01CBA05P_95339,4.553157793,25194,H01CBA05P,2021-04-11T06:06:46,95339,CS002-2-1618118012311,,,0,29,"0,29"
H01CBA06P_95100,3.955118524,25371.5,H01CBA06P,2021-04-11T06:07:24,95100,CS002-3-1618117995424,,,1,0,"1,0"
H01CBA02P_95214,4.532389727,25309.2,H01CBA02P,2021-04-11T06:08:04,95214,CS002-1-1618118000086,,,0,24,"0,24"
H01CBA05P_95340,6.892379612,24999,H01CBA05P,2021-04-11T06:08:41,95340,CS002-2-1618118012311,,,1,0,"1,0"
H01CBA06P_95101,3.96113893,25333,H01CBA06P,2021-04-11T06:09:20,95101,CS002-3-1618117995424,,,1,1,"1,1"
H01CBA02P_95215,4.483554087,25584.3,H01CBA02P,2021-04-11T06:10:00,95215,CS002-1-1618118000086,,,0,25,"0,25"
H01CBA05P_95341,4.490466009,25545,H01CBA05P,2021-04-11T06:10:36,95341,CS002-2-1618118012311,,,1,1,"1,1"
H01CBA06P_95102,3.973234939,25256,H01CBA06P,2021-04-11T06:11:15,95102,CS002-3-1618117995424,,,1,2,"1,2"
H01CBA02P_95216,4.546538986,25230.6,H01CBA02P,2021-04-11T06:11:55,95216,CS002-1-1618118000086,,,0,26,"0,26"
H01CBA05P_95342,4.546105638,25233,H01CBA05P,2021-04-11T06:12:32,95342,CS002-2-1618118012311,,,1,2,"1,2"
H01CBA06P_95103,3.907606684,25679.5,H01CBA06P,2021-04-11T06:13:10,95103,CS002-3-1618117995424,,,1,3,"1,3"
H01CBA02P_95217,4.504354051,25466.4,H01CBA02P,2021-04-11T06:13:50,95217,CS002-1-1618118000086,,,0,27,"0,27"
H01CBA05P_95343,4.511170365,25428,H01CBA05P,2021-04-11T06:14:27,95343,CS002-2-1618118012311,,,1,3,"1,3"
H01CBA02P_95218,4.532389727,25309.2,H01CBA02P,2021-04-11T06:15:06,95218,CS002-1-1618118000086,,,0,28,"0,28"
H01CBA05P_95344,4.49734629,25506,H01CBA05P,2021-04-11T06:15:42,95344,CS002-2-1618118012311,,,1,4,"1,4"
H01CBA02P_95219,4.560776957,25152,H01CBA02P,2021-04-11T06:16:21,95219,CS002-1-1618118000086,,,0,29,"0,29"
H01CBA05P_95345,4.511170365,25428,H01CBA05P,2021-04-11T06:16:58,95345,CS002-2-1618118012311,,,1,5,"1,5"
H01CBA02P_95220,4.532389727,25309.2,H01CBA02P,2021-04-11T06:17:36,95220,CS002-1-1618118000086,,,1,0,"1,0"
H01CBA05P_95346,4.511170365,25428,H01CBA05P,2021-04-11T06:18:13,95346,CS002-2-1618118012311,,,1,6,"1,6"
H01CBA02P_95221,4.476663432,25623.6,H01CBA02P,2021-04-11T06:18:51,95221,CS002-1-1618118000086,,,1,1,"1,1"
H01CBA05P_95347,4.532066731,25311,H01CBA05P,2021-04-11T06:19:27,95347,CS002-2-1618118012311,,,1,7,"1,7"
H01CBA02P_95222,4.497399297,25505.7,H01CBA02P,2021-04-11T06:20:06,95222,CS002-1-1618118000086,,,1,2,"1,2"
H01CBA05P_95348,4.525079776,25350,H01CBA05P,2021-04-11T06:20:42,95348,CS002-2-1618118012311,,,1,8,"1,8"
H01CBA02P_95223,4.560776957,25152,H01CBA02P,2021-04-11T06:21:21,95223,CS002-1-1618118000086,,,1,3,"1,3"
H01CBA05P_95349,4.525079776,25350,H01CBA05P,2021-04-11T06:21:58,95349,CS002-2-1618118012311,,,1,9,"1,9"
H01CBA02P_95224,4.442525754,25820.1,H01CBA02P,2021-04-11T06:22:36,95224,CS002-1-1618118000086,,,1,4,"1,4"
H01CBA05P_95350,4.525079776,25350,H01CBA05P,2021-04-11T06:23:13,95350,CS002-2-1618118012311,,,1,10,"1,10"
H01CBA02P_95225,4.532389727,25309.2,H01CBA02P,2021-04-11T06:23:51,95225,CS002-1-1618118000086,,,1,5,"1,5"
H01CBA05P_95351,4.567328016,25116,H01CBA05P,2021-04-11T06:24:28,95351,CS002-2-1618118012311,,,1,11,"1,11"
H01CBA02P_95226,4.497399297,25505.7,H01CBA02P,2021-04-11T06:25:06,95226,CS002-1-1618118000086,,,1,6,"1,6"
H01CBA05P_95352,4.518114354,25389,H01CBA05P,2021-04-11T06:25:44,95352,CS002-2-1618118012311,,,1,12,"1,12"
H01CBA02P_95227,4.497399297,25505.7,H01CBA02P,2021-04-11T06:26:22,95227,CS002-1-1618118000086,,,1,7,"1,7"
H01CBA05P_95353,4.449622828,25779,H01CBA05P,2021-04-11T06:26:59,95353,CS002-2-1618118012311,,,1,13,"1,13"
H01CBA02P_95228,4.518328355,25387.8,H01CBA02P,2021-04-11T06:27:37,95228,CS002-1-1618118000086,,,1,8,"1,8"
H01CBA05P_95354,4.525079776,25350,H01CBA05P,2021-04-11T06:28:14,95354,CS002-2-1618118012311,,,1,14,"1,14"
H01CBA02P_95229,4.504354051,25466.4,H01CBA02P,2021-04-11T06:28:53,95229,CS002-1-1618118000086,,,1,9,"1,9"
H01CBA06P_95104,3.931218942,25525.5,H01CBA06P,2021-04-11T06:29:35,95104,CS002-3-1618117995424,,,1,4,"1,4"
H01CBA05P_95355,4.511170365,25428,H01CBA05P,2021-04-11T06:30:13,95355,CS002-2-1618118012311,,,1,15,"1,15"
H01CBA06P_95105,3.96113893,25333,H01CBA06P,2021-04-11T06:30:51,95105,CS002-3-1618117995424,,,1,5,"1,5"
H01CBA05P_95356,4.49734629,25506,H01CBA05P,2021-04-11T06:31:29,95356,CS002-2-1618118012311,,,1,16,"1,16"
H01CBA02P_95231,4.525348107,25348.5,H01CBA02P,2021-04-11T06:32:32,95231,CS002-1-1618118000086,,,1,11,"1,11"
H01CBA06P_95106,3.96113893,25333,H01CBA06P,2021-04-11T06:33:11,95106,CS002-3-1618117995424,,,1,6,"1,6"
H01CBA05P_95357,4.511170365,25428,H01CBA05P,2021-04-11T06:33:50,95357,CS002-2-1618118012311,,,1,17,"1,17"
H01CBA02P_95233,4.469793946,25662.9,H01CBA02P,2021-04-11T06:34:53,95233,CS002-1-1618118000086,,,1,13,"1,13"
H01CBA06P_95107,3.931218942,25525.5,H01CBA06P,2021-04-11T06:35:32,95107,CS002-3-1618117995424,,,1,7,"1,7"
H01CBA05P_95359,15.82957375,21996,H01CBA05P,2021-04-11T06:36:34,95359,CS002-2-1618118012311,,,1,19,"1,19"
H01CBA02P_95235,4.560776957,25152,H01CBA02P,2021-04-11T06:37:38,95235,CS002-1-1618118000086,,,1,15,"1,15"
H01CBA06P_95108,3.973234939,25256,H01CBA06P,2021-04-11T06:38:17,95108,CS002-3-1618117995424,,,1,8,"1,8"
H01CBA05P_95360,4.518114354,25389,H01CBA05P,2021-04-11T06:38:55,95360,CS002-2-1618118012311,,,1,20,"1,20"
H01CBA02P_95237,4.518328355,25387.8,H01CBA02P,2021-04-11T06:39:58,95237,CS002-1-1618118000086,,,1,17,"1,17"
H01CBA05P_95361,4.532066731,25311,H01CBA05P,2021-04-11T06:40:36,95361,CS002-2-1618118012311,,,1,21,"1,21"
H01CBA02P_95239,4.518328355,25387.8,H01CBA02P,2021-04-11T06:41:39,95239,CS002-1-1618118000086,,,1,19,"1,19"
H01CBA05P_95362,4.483606769,25584,H01CBA05P,2021-04-11T06:42:16,95362,CS002-2-1618118012311,,,1,22,"1,22"
H01CBA06P_95109,3.955118524,25371.5,H01CBA06P,2021-04-11T06:42:55,95109,CS002-3-1618117995424,,,1,9,"1,9"
